Display Title,Display Artist,Creation Date,Media & Support,Credit Line,Current Location,Specific Location,Department,Council District
Japanese Pillow,Piero Fenci,2006,Low fire ceramic,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Battlement,Piero Fenci,2010,Low fire ceramic,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Block F712-2,Jeff Forster,2010,"Houston native clay, high fire reduction",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Device,Jeff Forster,2010,"Stoneware, multiple firings",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Object PS-E,Jeff Forster,2011,"Stoneware, experimental high fire",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Bottle Cap Ring,Heidi Gerstacker,2010,"Sterling silver, found bottle cap",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Chrome Diopside Ring,Heidi Gerstacker,2010,"Sterling silver, chrome diopside",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Aloe Vera Pin,Heidi Gerstacker,2009,Oxidized sterling silver,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Sun Flower Brooch,Heidi Gerstacker,2010,"Sterling silver, druzy",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Roofing Nail Ring,Heidi Gerstacker,2010,"Sterling silver, found nails",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Beyond Tradition,Herman Guetersloh,2008,"Round reed, acid and fiber reactive dyes",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Cuvee,Herman Guetersloh,2011,"Round reed, acid and fiber reactive dyes",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Horizon,Herman Guetersloh,2010,"Round reed, acid and fiber reactive dyes",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Chain Basket,Terry Hagiwara,2012,Raku ceramics,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Chain,Terry Hagiwara,2011,Raku ceramics,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Basket Weave,Terry Hagiwara,2011,Raku ceramics,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Nail Brush - Vanity Set For The Muse,Jan Arthur Harrell,2009,"Enamel on copper, pearls, sterling silver, gold plating, rusted nails",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Nail Buff - Vanity Set For The Muse,Jan Arthur Harrell,2010,"Enamel on copper, gold plating, gold foil, glass lumps, tie down cleat",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Horned Turnip,Jason Kishell,2010,"Porcelain, wax, wood (Lignum Vitae)",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Stilted Lemon Growth,Jason Kishell,2010,"Porcelain, wood (Indian rosewood), polymer clay, wire",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Pink Kayak,Jason Makepeace,2011,Ash log and paint,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Hinged Kayak,Jason Makepeace,2010,Ash log and paint,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Half Paddle 2,Jason Makepeace,2011,Oak log and paint,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Fettered,Richard Moiel and Katherine Poeppel,2005,Cast glass,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Basket B05.16.09,Richard Moiel and Katherine Poeppel,2005,"Blown glass, incamo/cane rollup, acid etched",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Basket B05.12.05,Richard Moiel and Katherine Poeppel,2006,"Blown glass, incalmo/cane rollup, acid etched and carved",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Basket B06.12.06,Richard Moiel and Katherine Poeppel,2006,"Blown glass, incalmo/cane rollup, acid etched and carved",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Compass #5 'Chaos Theory',Mary Rogers,2010,"22k gold, fine silver, sterling, chyrsophrase",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Moral Compass For The Journey,Mary Rogers,2010,"22k gold, fine silver, sterling, shibuichi",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
Compass #6 'Chaos Theory',Mary Rogers,2010,"22k, fine silver, drusy, antique type",,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
"Rickshaw - Part of the ""Home-Bodies"" Series",Harold Siefert,2011,Cast bronze,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
"Hold That Pose - Part of the ""Home Bodies"" Series",Harold Siefert,2010,Cast Bronze,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
"Dog Walker - Part of the ""Home Bodies"" Series",Harold Siefert,2010,Cast bronze,,"2800 North Terminal Road Houston, TX 77032","IAH, Bush Intercontinental Airport",HAS,B
